"","V1","V2","V3","V4"
"d0.20_t00500_c03testNet-first2.out","d0.20_t00500_c03","testNet-first2.out","0.803708650295362","36.5142738256736"
"d0.20_t00500_c03testNet-last2.out","d0.20_t00500_c03","testNet-last2.out","0.850466834241999","31.7375187982037"
"d0.20_t00500_c03testNet-proto.out","d0.20_t00500_c03","testNet-proto.out","0.999989274051368","0.265372474929055"
"d0.20_t00500_c03testNet-zeros.out","d0.20_t00500_c03","testNet-zeros.out","0.799252226261357","36.9412455654275"
"d0.20_t00500_c03testNet-anti.out","d0.20_t00500_c03","testNet-anti.out","0.620316631595342","51.6607397217535"
"d0.20_t10000_c03testNet-first2.out","d0.20_t10000_c03","testNet-first2.out","0.876504160178383","28.776504590005"
"d0.20_t10000_c03testNet-last2.out","d0.20_t10000_c03","testNet-last2.out","0.897268473328808","26.1986887824525"
"d0.20_t10000_c03testNet-proto.out","d0.20_t10000_c03","testNet-proto.out","0.999994534444677","0.189432711352644"
"d0.20_t10000_c03testNet-zeros.out","d0.20_t10000_c03","testNet-zeros.out","0.901065685945358","25.7014976086815"
"d0.20_t10000_c03testNet-anti.out","d0.20_t10000_c03","testNet-anti.out","0.530966302836697","57.9292327078794"
"d0.50_t00500_c03testNet-first2.out","d0.50_t00500_c03","testNet-first2.out","0.60332737289166","52.8914232822135"
"d0.50_t00500_c03testNet-last2.out","d0.50_t00500_c03","testNet-last2.out","0.586449606339281","54.094535800609"
"d0.50_t00500_c03testNet-proto.out","d0.50_t00500_c03","testNet-proto.out","0.836314263362397","33.2470626941197"
"d0.50_t00500_c03testNet-zeros.out","d0.50_t00500_c03","testNet-zeros.out","0.392879783013851","66.8661929950748"
"d0.50_t00500_c03testNet-anti.out","d0.50_t00500_c03","testNet-anti.out","0.118516193541989","83.1935243715533"
"d0.50_t10000_c03testNet-first2.out","d0.50_t10000_c03","testNet-first2.out","0.561479700689421","55.8418092064896"
"d0.50_t10000_c03testNet-last2.out","d0.50_t10000_c03","testNet-last2.out","0.426072187260425","64.7814517418058"
"d0.50_t10000_c03testNet-proto.out","d0.50_t10000_c03","testNet-proto.out","0.645846947591993","49.7707935725431"
"d0.50_t10000_c03testNet-zeros.out","d0.50_t10000_c03","testNet-zeros.out","0.506384794800966","59.5766786550864"
"d0.50_t10000_c03testNet-anti.out","d0.50_t10000_c03","testNet-anti.out","0.311493860251812","71.8507194745973"
"d0.90_t00500_c03testNet-first2.out","d0.90_t00500_c03","testNet-first2.out","0.256966225079909","75.1098754812966"
"d0.90_t00500_c03testNet-last2.out","d0.90_t00500_c03","testNet-last2.out","0.188564036394589","79.1310051429555"
"d0.90_t00500_c03testNet-proto.out","d0.90_t00500_c03","testNet-proto.out","0.378403640897834","67.7651644981075"
"d0.90_t00500_c03testNet-zeros.out","d0.90_t00500_c03","testNet-zeros.out","0.0354904915383898","87.9661174982743"
"d0.90_t00500_c03testNet-anti.out","d0.90_t00500_c03","testNet-anti.out","0.000209290890462715","89.9880085151984"
"d0.90_t10000_c03testNet-first2.out","d0.90_t10000_c03","testNet-first2.out","0.20140309797955","78.3809796181261"
"d0.90_t10000_c03testNet-last2.out","d0.90_t10000_c03","testNet-last2.out","0.318330849255636","71.4379882822276"
"d0.90_t10000_c03testNet-proto.out","d0.90_t10000_c03","testNet-proto.out","0.422375288945942","65.015359512496"
"d0.90_t10000_c03testNet-zeros.out","d0.90_t10000_c03","testNet-zeros.out","0.0191945947448552","88.9001631886728"
"d0.90_t10000_c03testNet-anti.out","d0.90_t10000_c03","testNet-anti.out","0.000678926225194924","89.9611003897072"
